Code,Disposition
A2,CRIMINAL COURT SUMMONS SERVED
A6,VACANT/OPEN/UNGUARDED STRUCTURE - VIOLATION(S) ISSUED
A7,COMPLAINT ACCEPTED BY PADLOCK UNIT
A8,ECB VIOLATION SERVED
EA,COMPLAINT ASSIGNED TO INTERIOR DEMOLITION UNIT
E8,COMPLAINT ASSIGNED TO EXCAVATION INSPECTION & AUDITS TEAM
E9,COMPLAINT ASSIGNED TO STALLED SITES UNIT
F1,COMPLAINT REFERRED TO DEPARTMENT OF ENVIRONMENTAL PROTECTION(DEP)
F5,COMPLAINT REFERRED TO DEPARTMENT OF SANITATION (DOS)
F7,COMPLAINT REFERRED TO NYS OFFICE OF REAL PROPERTIES SERVICES
F8,COMPLAINT REFERRED TO HOUSING PRESERVATION AND DEVELOPMENT (HPD)
G2,COMPLAINT REFERRED TO DEPARTMENT OF PARKS AND RECREATION
G4,COMPLAINT REFERRED TO DEPARTMENT OF CONSUMER AFFAIRS
G5,COMPLAINT REFERRED TO NEW YORK POLICE DEPARTMENT
S8,STALLED: CONSTRUCTION IN PROGRESS
S9,STALLED: EMERGENCY DECLARATION FILED
W1,VIOLATION SERVED FOR DISOBEYING VACATE ORDER
RH,EMERGENCY DECLARATION - ISSUED
RI,IMMEDIATE EMERGENCY DECLARATION - ISSUED
RJ,IMMEDIATE/EMERGENCY DECLARATION - ACTION COMPLETED
RK,UNSAFE BUILDING - VIOLATION ISSUED
RL,UNSAFE BUILDING - ACTION COMPLETED
C4,ACCESS DENIED - 2ND ATTEMPT
RT,COMPROMISED STRUCTURE: ACTION COMPLETED
RU,LL11 UNSAFE - INITIATED
RV,LL11 UNSAFE - ACTION COMPLETED
RW,IMMEDIATE/EMERGENCY DEC - PREVIOUSLY ISSUED/UNDERWAY
RX,UNSAFE BUILDING - PRECEPT PREVIOUSLY ISSUED/UNDERWAY
R1,INSPECTION - NO IMMEDIATE ACTION/NO FOLLOW-UP REQUIRED
R3,INSPECTION - NO IMMEDIATE ACTION/MONTHLY INSPECTION
R4,INSPECTION - ENGINEERING ASSESSMENT REQUIRED
R5,INSPECTION - CLASS 1 ECB(S) WRITTEN/ORDER TO CORRECT
R6,ENGINEERING - NO IMMEDIATE ACTION/NO FOLLOW-UP REQUIRED
R7,ENGINEERING - NO IMMEDIATE ACTION/WEEKLY ASSESSMENT
R8,ENGINEERING - NO IMMEDIATE ACTION/MONTHLY ASSESSMENT
R9,BUILDING AT RISK PROGRAM - NO IMMEDIATE DANGER
S2,STALLED: EXCAVATION DETERIORATING - NO IMMEDIATE THREAT
S3,STALLED: EXCAVATION - UNSAFE
S6,STALLED: SUPERSTRUCTURE - UNSAFE
F6,COMPLAINT REFERRED TO DEPARTMENT OF TRANSPORTATION (DOT)
WC,WEATHER RLT: NOD ISSUED/UNSAFE/RED TAG REMAINS/ENG.EVALUATION REQUIRED
WH,WEATHER RLT: GREEN TAG RESCINDED/STRUCTURALLY SOUND/UTILITIES UNRESOLVED
MG,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED
H1,PLEASE SEE COMPLAINT NUMBER
S0,STALLED: ALL WORK COMPLETED
C8,AW: ACCESS DENIED - 2ND ATTEMPT
E4,COMPLAINT ASSIGNED TO LL58/87 UNIT (HANDICAP ACCESS)
C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT
G7,COMPLAINT REFERRED TO MAYOR'S OFFICE OF SPECIAL ENFORCEMENT
G3,COMPLAINT REFERRED TO TAXI AND LIMOUSINE COMMISSION (TLC)
I3,COMPLIANCE INSPECTION PERFORMED
I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
EB,COMPLAINT ASSIGNED TO FACADE INSPECTION SAFETY PROGRAM
A1,BUILDINGS VIOLATION(S) SERVED
EZ,COMPLAINT ASSIGNED TO DEPT. OF INVESTIGATION
MI,MARCH: NO PA PERMIT/ECB NOV & PARTIAL VACATE ISSUED P
P5,POTENTIAL ORDINARY PLUMBING WORK
B2,ECB VIOLATION(S) PREPARED & ATTEMPT TO SERVE WILL BE MADE
F4,COMPLAINT REFERRED FOR REVIEW
G9,COMPLAINT REFERRED TO DEPT CITYWIDE ADMINISTRATIVE SERVICES
E5,COMPLAINT ASSIGNED TO CENTER FOR RE-EVALUATION
Y2,VACATE ORDER FULLY RESCINDED N
P1,JOB VESTED
K2,ADDRESS INVALID - PENDING BUILDINGS VERIFICATION
WA,WEATHER RELATED: NO ACTION NECESSARY
Q1,COMPROMISED STRUCTURE: OWNER PROF REPORT REQUIRED
V3,STOP WORK ORDER VIOLATION SERVED FOR NON-COMPLIANT AFTER HOURS WORK
MK,MARCH: NO PA PERMIT/ECB NOV ISSUED
E6,COMPLAINT ASSIGNED TO SPECIAL OPERATIONS UNIT
H4,CRIMINAL COURT SUMMONS SERVED DUE TO FAILURE TO OBEY SWO
