Complaint Number,Status,Date Entered,House Number,ZIP Code,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
1425031,CLOSED,05/30/2016,201         ,10039    ,WEST 145 STREET                 ,1060482,110,   ,30,ERT  ,11/11/2018,Y1,11/09/2018,11/12/2018 12:00:00 AM
3675495,CLOSED,11/14/2018,737         ,11207    ,GEORGIA AVENUE                  ,3097277,305,   ,45,BKLYN,11/15/2018,Y1,11/14/2018,11/16/2018 12:00:00 AM
3675844,CLOSED,11/16/2018,1663        ,11235    ,SHEEPSHEAD BAY ROAD             ,3204994,315,   ,73,BKLYN,11/19/2018,Y1,11/13/2018,11/20/2018 12:00:00 AM
3675847,CLOSED,11/16/2018,1669        ,11235    ,SHEEPSHEAD BAY ROAD             ,3337322,315,   ,1X,BKLYN,11/19/2018,Y1,11/13/2018,11/20/2018 12:00:00 AM
3675848,CLOSED,11/16/2018,1671        ,11235    ,SHEEPSHEAD BAY ROAD             ,3337323,315,   ,1X,BKLYN,11/19/2018,Y1,11/13/2018,11/20/2018 12:00:00 AM
3675845,CLOSED,11/16/2018,1665        ,11235    ,SHEEPSHEAD BAY ROAD             ,3204993,315,   ,1X,BKLYN,11/19/2018,Y1,11/13/2018,11/20/2018 12:00:00 AM
3675846,CLOSED,11/16/2018,1667        ,11235    ,SHEEPSHEAD BAY ROAD             ,3337321,315,   ,1X,BKLYN,11/19/2018,Y1,11/19/2018,11/20/2018 12:00:00 AM
2272022,CLOSED,11/20/2018,3212        ,10467    ,HULL AVENUE                     ,2018438,207,   ,30,ERT  ,11/20/2018,Y1,11/20/2018,11/21/2018 12:00:00 AM
2272021,CLOSED,11/20/2018,3208        ,10467    ,HULL AVENUE                     ,2018436,207,   ,30,ERT  ,11/20/2018,Y1,11/20/2018,11/21/2018 12:00:00 AM
2272011,CLOSED,11/20/2018,3210        ,10467    ,HULL AVENUE                     ,2018437,207,   ,30,ERT  ,11/20/2018,Y1,11/20/2018,11/21/2018 12:00:00 AM
3554947,CLOSED,04/18/2016,45          ,11218    ,KERMIT PLACE                    ,3124049,307,   ,30,ERT  ,11/21/2018,Y1,11/21/2018,11/22/2018 12:00:00 AM
3503028,CLOSED,01/06/2015,251         ,11207    ,COVERT STREET                   ,3079093,304,   ,37,ERT  ,11/21/2018,Y1,11/20/2018,11/22/2018 12:00:00 AM
5138333,CLOSED,11/22/2018,21          ,10307    ,SPRAGUE AVENUE                  ,5087640,503,   ,30,ERT  ,11/22/2018,Y1,11/22/2018,11/23/2018 12:00:00 AM
5138338,CLOSED,11/23/2018,154         ,10304    ,HILLSIDE AVENUE                 ,5016001,501,   ,30,ERT  ,11/23/2018,Y1,11/22/2018,11/24/2018 12:00:00 AM
3320478,CLOSED,10/05/2009,160         ,11231    ,IMLAY STREET                    ,3336460,306,   ,73,BKLYN,11/27/2018,Y1,11/27/2018,11/28/2018 12:00:00 AM
4433973,CLOSED,02/10/2010,1018        ,11385    ,CYPRESS AVENUE                  ,4085659,405,   ,10,QNS.,11/27/2018,Y1,11/27/2018,11/28/2018 12:00:00 AM
1495748,CLOSED,11/27/2018,44          ,10003    ,EAST 1 STREET                   ,1006109,103,   ,37,MAN.,11/27/2018,Y1,11/26/2018,11/28/2018 12:00:00 AM
3511007,CLOSED,04/08/2015,1230        ,11213    ,ST MARKS AVENUE                 ,3036094,308,   ,30,ERT  ,11/27/2018,Y1,11/27/2018,11/28/2018 12:00:00 AM
3511077,CLOSED,04/09/2015,1232        ,11213    ,ST MARKS AVENUE                 ,3036095,308,   ,30,ERT  ,11/27/2018,Y1,11/27/2018,11/28/2018 12:00:00 AM
3677241,CLOSED,11/28/2018,15          ,11206    ,LOCUST STREET                   ,3071760,304,   ,37,ERT  ,11/28/2018,Y1,11/28/2018,11/29/2018 12:00:00 AM
3677275,CLOSED,11/28/2018,2024        ,11230    ,OCEAN AVENUE                    ,3182043,314,   ,4C,EXCAV,11/28/2018,Y1,11/28/2018,11/29/2018 12:00:00 AM
5138425,CLOSED,11/28/2018,60          ,10303    ,HOUSMAN AVENUE                  ,5026666,501,   ,30,ERT  ,11/28/2018,Y1,11/28/2018,11/29/2018 12:00:00 AM
3677328,CLOSED,11/29/2018,2635        ,11235    ,EAST 23 STREET                  ,3205176,315,   ,30,ERT  ,11/29/2018,Y1,11/29/2018,11/30/2018 12:00:00 AM
3677572,CLOSED,11/30/2018,21          ,11237    ,VARICK AVENUE                   ,3070684,301,IBZ,30,ERT  ,11/30/2018,Y1,11/30/2018,12/01/2018 12:00:00 AM
3676948,CLOSED,11/26/2018,446         ,11207    ,ASHFORD STREET                  ,3089480,305,   ,45,SPOPS,11/30/2018,Y1,11/29/2018,12/01/2018 12:00:00 AM
3528247,CLOSED,08/28/2015,1227        ,11219    ,47 STREET                       ,3396984,312,   ,30,ERT  ,12/04/2018,Y1,12/03/2018,12/05/2018 12:00:00 AM
2272670,CLOSED,12/05/2018,709         ,10454    ,EAST 133 STREET                 ,2003752,201,   ,30,ERT  ,12/05/2018,Y1,12/05/2018,12/06/2018 12:00:00 AM
2272688,CLOSED,12/05/2018,711         ,10454    ,EAST 133 STREET                 ,2003751,201,   ,30,ERT  ,12/05/2018,Y1,12/05/2018,12/06/2018 12:00:00 AM
2268946,CLOSED,09/24/2018,437         ,10455    ,CONCORD AVENUE                  ,2003907,201,   ,29,BRONX,12/07/2018,Y1,12/06/2018,12/08/2018 12:00:00 AM
3678457,CLOSED,12/07/2018,330         ,11237    ,MELROSE STREET                  ,3072091,304,   ,30,ERT  ,12/07/2018,Y1,12/07/2018,12/08/2018 12:00:00 AM
4756970,CLOSED,12/07/2018,56-07       ,11364    ,EAST HAMPTON BOULEVARD          ,4161249,411,   ,45,ERT  ,12/07/2018,Y1,12/07/2018,12/08/2018 12:00:00 AM
2272840,CLOSED,12/09/2018,2761        ,10469    ,BRONXWOOD AVENUE                ,2053803,211,   ,30,ERT  ,12/09/2018,Y1,12/08/2018,12/10/2018 12:00:00 AM
4757018,CLOSED,12/08/2018,38-14       ,11101    ,31 STREET                       ,4004613,401,   ,30,ERT  ,12/09/2018,Y1,12/08/2018,12/10/2018 12:00:00 AM
2250127,CLOSED,09/25/2017,941         ,10451    ,COURTLANDT AVENUE               ,2001815,203,   ,73,BRONX,12/11/2018,Y1,12/10/2018,12/12/2018 12:00:00 AM
2272943,CLOSED,12/11/2018,2118        ,10473    ,QUIMBY AVENUE                   ,2022880,209,   ,30,ERT  ,12/11/2018,Y1,12/11/2018,12/12/2018 12:00:00 AM
3501862,CLOSED,12/20/2014,208         ,11205    ,SKILLMAN STREET                 ,3055211,303,   ,30,ERT  ,12/11/2018,Y1,12/10/2018,12/12/2018 12:00:00 AM
