X1,X2,X3,X4,X5,X6
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,05/24/2019,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,05/24/2019
,,,IMMEDIATELY COMPLY WITH COMMISSIONER'S ORDER # 315639,,
1,03/28/2019,A1,BUILDINGS VIOLATION(S) SERVED,9XCX,01/16/2019
,,,OWN ENGAGE NYS PE&CONTR TO EVALUATE ENTIRE BLDG&REPAIR UNDER                    PERMIT FILE FOR PERMIT BY 4/15/19 START BY 5/1/19,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,01/06/2019,W1,VIOLATION SERVED FOR DISOBEYING VACATE ORDER,2634,01/06/2019
,,,"W1-DOB ISSUED FOR FAILURE TO COMPLY WITH COMMISSIONER ORDER, DOB ISSUED FOR STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE.(PRIOR A1 ENTERED TO COMMENTS IN ERROR)#2608",,
1,01/06/2019,W1,VIOLATION SERVED FOR DISOBEYING VACATE ORDER,2634,01/06/2019
,,,"A-1 DOB ISSUED FOR FAILURE TO COMPLY WITH COMMISSIONER ORDER, DOB ISSUED FOR STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE.",,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,07/19/2013,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2402,07/17/2013
,,,UNABLE TO GAIN ACCESS LS4,,
1,06/21/2013,C3,ACCESS DENIED - 1ST ATTEMPT,2315,06/20/2013
,,,ACCESS DENIED BY A MALE,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,04/30/2008,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2269,04/23/2008
,,,ACCESS DENIED BY UNKNOWN MALE AT 1ST FLOOR LS4 POSTED,,
1,04/18/2008,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2269,04/08/2008
,,,ACCESS DENIED BY UNKNOWN MALE LS4 POSTED,,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021
,,,REFER TO BORO.ATOI INSPECTOR SHAO OBSERVED VACANT LOT WITH                      DM JOB#321931353 SIGNED-OFF 9-17-2019,,
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/13/2018
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021
,,,ATOI INSPECTOR SHAO OBSERVED VACANT LOT WITH DM JOB321931371                    AT ADJ PROPERTY SIGNED-OFF.REFER TO BORO FOR CONSIDERATION,,
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/13/2018
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
2,08/23/2021,Y1,FULL VACATE ORDER ISSUED,3070,08/23/2021
,,,REFER TO BORO FOR CONSIDERATION.INSPECTOR SHAO OBSERVED VACA                    NT LOT WITH DM JOB#321931371 FOR ADJ PROPERTY SIGNED-OFF,,
1,11/19/2018,Y1,FULL VACATE ORDER ISSUED,0737,11/13/2018
,,,"AS REQUESTED BY THE BROOKLYN BOROUGH FEU VISITED 1663 - 1671 AND REPORTS THAT THE BUILDINGS ARE IN A STATE OF DISREPAIR AND THE CONDITIONS POSE A DANGER TO THE PUBLIC. AS A RESULT, A FULL VACATE ORDER ALSO ISSUED.",,
,,,,,
#,Disposition,Disposition,Disposition,Inspection,Date
,Date,Code,Disposition,By,Date
,,,,,
3,12/05/2005,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0840,11/29/2005
,,,BLDG BUILT IN 1925 PRIOR TO C OF O,,
2,11/04/2005,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,1996,11/02/2005
,,,"1, 2 FLOOR TENANTS (COMMERCIAL) UNABLE TO PROVIDE C OF O",,
