X1,X2
Last Inspection:,08/06/2020 -  - BY BADGE # 2399
Disposition:,08/06/2020 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
Comments:,BUILDING SEALED PER DEPT RULES DOOR PADLOCKED AND WINDOWS CEMENTED OVER. NO     ACTION WARRANTED.
Last Inspection:,01/30/2019 -  - BY BADGE # 2472
Disposition:,01/30/2019 - G5 - COMPLAINT REFERRED TO NEW YORK POLICE DEPARTMENT
Comments:,MATTERS OF CRIMINAL TRESPASS ARE REFERRED TO NYPD
Last Inspection:,01/30/2019 -  - BY BADGE # 2472
Disposition:,01/30/2019 - I1 - COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS
Comments:,CON ED ENERGY SERVICES BROOKLYN HAVE REPORTED ELECTRIC SERVI                    CE IS NOW DISCONNECTED AT THE POLE.  NAN
Last Inspection:,01/15/2019 -  - BY BADGE # 2270
Disposition:,01/15/2019 - XX - ADMINISTRATIVE CLOSURE
Comments:,DUPLICATE COMPLAINT. TO BE ADDRESSED WITH COMPLAINT NUMBER 3682796
Last Inspection:,01/16/2019 -  - BY BADGE # 2654
Disposition:,01/18/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
Comments:,OBSERVED PROPERTY CLOSED AT TIME OF INSPECTION.
Last Inspection:,01/09/2019 -  - BY BADGE # 2685
Disposition:,01/10/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
Comments:,"IMMEDIATE EMERGENCY DECLARATION #12496  FILED ON 01.07.19 FOR SEAL OF THE BUILDING. AT TIME OF INSPECTION, OWNER WAS IN COMPLIANCE. WORK CREW ON SITE SEALING THE PREMISES WITH PLYWOOD"
Last Inspection:,01/09/2019 -  - BY BADGE # 2472
Disposition:,01/09/2019 - I1 - COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS
Comments:,NAT GRID DISPATCH REPORTS GAS CUT AND CAPPED @ STREET ON 01-                    07-2019. A LICENSED PROFESSIONAL WILL BE REQUIRED TO AUTHORI
Last Inspection:,11/27/2018 -  - BY BADGE # 2656
Disposition:,11/27/2018 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
Comments:,VACATE ORDER APPEARS TO BE IN COMPLIANCE AT THE TIME OF INSPECTION. VACATE      STICKER STILL IN PLACE.
Last Inspection:,01/09/2019 -  - BY BADGE # 2695
Disposition:,01/10/2019 - A8 - ECB VIOLATION SERVED
DOB Violation #:,010919PL05DB01
ECB Violation #:,35352537R
Comments:,"GAS BYPASS WAS REMOVED PRIOR TO OUR INSPECTION, FUTURE GAS CONNECTION FOUND IN  GAS METER ROOM"
Last Inspection:,11/20/2018 -  - BY BADGE # 1252
Disposition:,11/20/2018 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
Comments:,"VACATE IS IN COMPLIANCE,  BUILDING FRONT DOORS LOCKED IN PLACE WITH VACATE STICKER  AND VIOLATION POSTED. NO EVIDENCE OF OCCUPANCY."
Last Inspection:,11/17/2018 -  - BY BADGE # 2905
Disposition:,11/19/2018 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION
