X1,X2,complaint_num,address,bin,boro,zip
Last Inspection:,03/19/2019 -  - BY BADGE # 2886,1498251,201 WEST 145 STREET,1060482,MANHATTAN,10039
Disposition:,03/20/2019 - L1 - PARTIAL STOP WORK ORDER,1498251,201 WEST 145 STREET,1060482,MANHATTAN,10039
DOB Violation #:,031919C10SK01  031919C10SK02,1498251,201 WEST 145 STREET,1060482,MANHATTAN,10039
ECB Violation #:,35373408N  35373409P,1498251,201 WEST 145 STREET,1060482,MANHATTAN,10039
Comments:,OATH SUMMONSES ISSUED FOR WORK WITHOUT PERMIT AND FAILURE TO MAINTAIN. AT TIME OF INSPECTION NO RESTAURANT OBSERVED AT THE PROPERTY. OBSERVED @EXP. #1 OF THE BUILDING CONSTRUCTION WORK IN PROGRESS AT THE OSP LEVEL FOR RENOVATION OF SIDEWALK VAULT ATTACHED TO THE CELLAR LEVEL WITH REPLACING STEEL BEAMS WITHOUT PERMIT. ALSO OBSERVED THE EXISTING STEEL BEAMS IN THE VAULT ARE CORRODED AND RUSTED. (JOB #123513108 FOR THE SAME PURPOSE FILED ON 12/19/2018 AND DISAPPROVED),1498251,201 WEST 145 STREET,1060482,MANHATTAN,10039
Last Inspection:,03/29/2019 -  - BY BADGE # 2957,1505705,201 WEST 145 STREET,1060482,MANHATTAN,10039
Disposition:,04/01/2019 - H3 - BUILDING VIOLATION ISSUED FOR FAILURE TO OBEY STOP WORK ORDER  1498251,1505705,201 WEST 145 STREET,1060482,MANHATTAN,10039
DOB Violation #:,032919C10KB01  032919C10KB02,1505705,201 WEST 145 STREET,1060482,MANHATTAN,10039
ECB Violation #:,35344451X  35344452H,1505705,201 WEST 145 STREET,1060482,MANHATTAN,10039
Comments:,AT THE TIME OF INSPECTION OBSERVED A SIDEWALK VAULT STRUCTURAL STEEL BEAMS AND SIDEWALK COMPLETED AGAINST A STOP WORK ORDER WHICH IT ISSUED ON 03/19/2019 AND SIGNIFICANT AMOUNT OF CONSTRUCTION DEBRIS IN REAR YARD. 2 OATH SUMMONSES FOR WORK AGAINST A STOP WORK ORDER AND FAILURE TO MAINTAIN ISSUED.,1505705,201 WEST 145 STREET,1060482,MANHATTAN,10039
