X1,X2,complaint_num,address,bin,boro,zip
Last Inspection:,07/26/2017 -  - BY BADGE # 2709,5128734,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Disposition:,07/28/2017 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5128734,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Comments:,AT TIME OF INSPECTION : VACANT LOT - NO CONSTRICTION ACTIVITIES,5128734,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Last Inspection:,04/07/2017 -  - BY BADGE # 0363,5126475,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Disposition:,04/11/2017 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5126475,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Comments:,BUILDING WAS DEMOLISHED TO GRADE,5126475,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Last Inspection:,03/07/2017 -  - BY BADGE # 0363,5126453,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Disposition:,03/09/2017 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5126453,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Comments:,VACATE POSTED & STILL IN COMPLIANCE,5126453,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Last Inspection:,03/20/1992 -  - BY BADGE # 0382,5009116,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Disposition:,03/24/1992 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5009116,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Comments:,NO CARS BEING REPAIRED ON PROPERTY AT TIME OF INSPECTION,5009116,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
Last Inspection:,01/31/2018 -  - BY BADGE # 0860,2256568,1830 GARAGE FOWLER AVENUE,2105646,BRONX,10462
Disposition:,02/05/2018 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2256568,1830 GARAGE FOWLER AVENUE,2105646,BRONX,10462
Comments:,VACATE IS BEING COMPLIED WITH. VACATE POSTED.,2256568,1830 GARAGE FOWLER AVENUE,2105646,BRONX,10462
Last Inspection:,01/27/2018 -  - BY BADGE # 2608,2256511,1830 GARAGE FOWLER AVENUE,2105646,BRONX,10462
Disposition:,01/28/2018 - Y1 - FULL VACATE ORDER ISSUED,2256511,1830 GARAGE FOWLER AVENUE,2105646,BRONX,10462
DOB Violation #:,012718CNE01GS/313957,2256511,1830 GARAGE FOWLER AVENUE,2105646,BRONX,10462
Comments:,Y-1 FULL VACATE. STRUCTURE RENDERED NON COMPLIANT DUE TO CAR IMPACTING GARAGE.,2256511,1830 GARAGE FOWLER AVENUE,2105646,BRONX,10462
Last Inspection:,12/21/2016 -  - BY BADGE # 2709,4676740,155-30 115 AVENUE,4264275,QUEENS,11434
Disposition:,12/22/2016 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,4676740,155-30 115 AVENUE,4264275,QUEENS,11434
