X1,X2,complaint_num,address,bin,boro,zip
Last Inspection:,01/25/2019 -  - BY BADGE # 2728,5139218,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Disposition:,01/29/2019 - Y1 - FULL VACATE ORDER ISSUED,5139218,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Comments:,THE BUILDING IS UNOCCUPIED . FULL VACATE ORDER POSTED .,5139218,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Last Inspection:,12/13/2018 -  - BY BADGE # 5205,5138667,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Disposition:,12/14/2018 - A1 - BUILDINGS VIOLATION(S) SERVED,5138667,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
DOB Violation #:,121318FEU50101ZT,5138667,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Comments:,OWNER ENGAGE NYS&PE& ENDORSED CONT'R TO EVAL ENT BLDG OBTAIN                    RENEW PMT FOR REPAIRS NO/L/THAN 12/28/18 REPAIR S/O 5/1/2019,5138667,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Last Inspection:,06/23/2014 -  - BY BADGE # 2414,5110816,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Disposition:,06/23/2014 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5110816,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Comments:,BUILDING VACANT/ABANDONED. SEALED NO ACCESS OR                                  DANGER TO PUBLIC. AT TIME OF INSP,5110816,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Last Inspection:,06/16/2008 -  - BY BADGE # 2380,5072174,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Disposition:,06/17/2008 - A9 - ECB & BUILDINGS VIOLATIONS SERVED,5072174,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
DOB Violation #:,061608C01JM02,5072174,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
ECB Violation #:,34648414N,5072174,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Comments:,SPALLING OF EXTERIOR CONCRETE AT SEVERAL LOCATIONS ON ALL                       SIDES OF BLDG. CONCRETE LINTELS DETERIORATED CRACKED FALLING,5072174,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Last Inspection:,07/18/2001 -  - BY BADGE # 1772,5030393,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Disposition:,07/25/2001 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5030393,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Comments:,THE BUILDING WAS CLOSED (DOORS PADLOCKED) AND SECURED AT                        TIME OF INSPECTION,5030393,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Last Inspection:,07/17/2001 -  - BY BADGE # 0791,5030360,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
Disposition:,07/18/2001 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5030360,191 EDGEWATER STREET,5042100,STATEN ISLAND,10305
