X1,X2,complaint_num,address,bin,boro,zip
Last Inspection:,05/16/2019 -  - BY BADGE # 1987,4774764,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
Disposition:,05/20/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,4774764,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
Comments:,PEREMPTORY VACATE ORDER SERVED TO OWNER.,4774764,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
Last Inspection:,12/18/2019 -  - BY BADGE # ADMN,5146380,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Disposition:,12/18/2019 - P6 - INITIAL NOTIFICATION ACCEPTED,5146380,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Job Number:,520389883,5146380,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Comments:,NOTIFICATION ACCEPTED,5146380,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Last Inspection:,03/21/2019 -  - BY BADGE # 2544,5140327,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Disposition:,03/21/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,5140327,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Comments:,24 HR. VACATE SERVED,5140327,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Last Inspection:,03/18/2019 -  - BY BADGE # 2608,5140270,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Disposition:,03/18/2019 - XX - ADMINISTRATIVE CLOSURE,5140270,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Comments:,XX- PLEASE SEE DUPLICATE COMPLAINT# 5140234.,5140270,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Last Inspection:,03/18/2019 -  - BY BADGE # 2746,5140234,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Disposition:,03/18/2019 - Y1 - FULL VACATE ORDER ISSUED,5140234,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
DOB Violation #:,031819CERMP01,5140234,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
ECB Violation #:,35375947L,5140234,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Comments:,Y1- VACATE GARAGE DUE TO GARAGE IN DISREPAIR AND COLLAPSED INTO STRUCTURE. ALSO OBSERVED THE REAR YARD IN DISREPAIR WITH HOUSE HOLD DEBRIS THROUGHOUT.,5140234,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
Last Inspection:,07/02/2019 -  - BY BADGE # 2967,4780380,99-17 GARAGE 32 AVENUE,4470735,QUEENS,11369
Disposition:,07/02/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,4780380,99-17 GARAGE 32 AVENUE,4470735,QUEENS,11369
Comments:,IN COMPLIANCE WITH 24 HOUR RE-INSPECTION OF VACATE ORDER Q262/19.,4780380,99-17 GARAGE 32 AVENUE,4470735,QUEENS,11369
Last Inspection:,01/18/2022 -  - BY BADGE # 3284,3828356,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Disposition:,01/18/2022 - A8 - ECB VIOLATION SERVED,3828356,1492 EAST 17 STREET,3181464,BROOKLYN,11230
ECB Violation #:,35636833X,3828356,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Comments:,VIOL ISSUED FOR FAILURE TO MAINTAIN FENCE AT EXP2.FENCE NOT PLUMB AND 2 PANELS COLLAPSED. COMPLY WITH CODE. A8 APPROVED BY BADGE#3133,3828356,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Last Inspection:,06/19/2019 -  - BY BADGE # 1795,3707739,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Disposition:,06/19/2019 - XX - ADMINISTRATIVE CLOSURE,3707739,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Comments:,"DUPLICATE , PREVIOUSLY REPORTED UNDER COMPLAINT 3707653",3707739,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Last Inspection:,07/25/2019 -  - BY BADGE # 2680,3707653,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Disposition:,07/25/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3707653,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Comments:,NO CONSTRUCTION ACTIVITY OBSERVED AT TIME OF INSPECTION.,3707653,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Last Inspection:,06/18/2019 -  - BY BADGE # 2654,3707386,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Disposition:,06/18/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3707386,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Comments:,OBSERVED PROPERTY IN COMPLIANCE WITH VACATE ORDER.,3707386,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Last Inspection:,06/14/2019 -  - BY BADGE # 9BNX,3707152,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Disposition:,06/14/2019 - A1 - BUILDINGS VIOLATION(S) SERVED,3707152,1492 EAST 17 STREET,3181464,BROOKLYN,11230
DOB Violation #:,061419FEU31401BS,3707152,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Comments:,"OWN IMM ENG PE&ENDORSED CONTR.FULL DEMO U/CONTIN SUPV OF PE,                    FDNY,NYPD&DOB CSE.ERECT T/B/F/ TO SECURE THE BUILDING",3707152,1492 EAST 17 STREET,3181464,BROOKLYN,11230
Last Inspection:,07/24/2019 -  - BY BADGE # 2751,4782311,91-08 GARAGE 172 STREET,4499260,QUEENS,11432
Disposition:,07/25/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,4782311,91-08 GARAGE 172 STREET,4499260,QUEENS,11432
Comments:,VACATE ORDER# Q282/19 IS COMPLIED WITH,4782311,91-08 GARAGE 172 STREET,4499260,QUEENS,11432
Last Inspection:,06/27/2019 -  - BY BADGE # 2746,4780053,91-08 GARAGE 172 STREET,4499260,QUEENS,11432
Disposition:,06/27/2019 - Y1 - FULL VACATE ORDER ISSUED,4780053,91-08 GARAGE 172 STREET,4499260,QUEENS,11432
DOB Violation #:,VIO19-00506,4780053,91-08 GARAGE 172 STREET,4499260,QUEENS,11432
Comments:,A1-STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE CAUSING EXTENSIVE CHARRING TO JOIST AND FRAMING THROUGHOUT MAKING STRUCTURE UNSAFE TO OCCUPY. VACATE FORTHWITH.,4780053,91-08 GARAGE 172 STREET,4499260,QUEENS,11432
Last Inspection:,07/31/2019 -  - BY BADGE # 2685,3713845,1736 GARAGE EAST 52 STREET,3420099,BROOKLYN,11234
Disposition:,07/31/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3713845,1736 GARAGE EAST 52 STREET,3420099,BROOKLYN,11234
Comments:,TEMPORARY CONSTRUCTION FENCING IN PLACE. FULL VACATE ORDER# B355 FOR THE GARAGE AT EXPOSURE#3 POSTED.,3713845,1736 GARAGE EAST 52 STREET,3420099,BROOKLYN,11234
Last Inspection:,07/25/2019 -  - BY BADGE # 2608,3713371,1736 GARAGE EAST 52 STREET,3420099,BROOKLYN,11234
Disposition:,07/26/2019 - Y1 - FULL VACATE ORDER ISSUED,3713371,1736 GARAGE EAST 52 STREET,3420099,BROOKLYN,11234
DOB Violation #:,072519CNE01SC/308869,3713371,1736 GARAGE EAST 52 STREET,3420099,BROOKLYN,11234
Comments:,Y1-FULL VACATE ISSUED.  STRUCTURE RENDERED NON-COMPLIANT DUE TO FIRE.,3713371,1736 GARAGE EAST 52 STREET,3420099,BROOKLYN,11234
Last Inspection:,09/10/2021 -  - BY BADGE # 0723,3813285,9 GAR CYPRESS COURT,3352755,BROOKLYN,11208
Disposition:,09/10/2021 - I1 - COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,3813285,9 GAR CYPRESS COURT,3352755,BROOKLYN,11208
Comments:,I1. BUILDING ISSUED A UB. AN APPLICATION WAS BY HPD FOR DEMO. JOB #322098519.,3813285,9 GAR CYPRESS COURT,3352755,BROOKLYN,11208
Last Inspection:,01/19/2021 -  - BY BADGE # 2791,3783871,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
Disposition:,01/19/2021 - A8 - ECB VIOLATION SERVED,3783871,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
DOB Violation #:,011921CERDE01,3783871,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
ECB Violation #:,35474851K,3783871,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
Comments:,"A-8 AT TIME OF INSPECTION OBSERVED GARAGE IN COMPLETE DISREPAIR WHERE ROOF HAS COLLAPSED, EXPO 1 LEANING, EXPO 2 VERTICAL CRACK. STRUCTURE HAS UB & FULL VACATE ISSUED ON 05/09/2019.",3783871,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
Last Inspection:,05/13/2019 -  - BY BADGE # 2905,3701682,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
Disposition:,05/14/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3701682,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
Comments:,KNOCKED DOOR NO ANSWER. VACATE ORDER # B222/19 POSTED ON FRONT DOOR.,3701682,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
Last Inspection:,05/09/2019 -  - BY BADGE # 2791,3701405,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
Disposition:,05/09/2019 - A6 - VACANT/OPEN/UNGUARDED STRUCTURE - VIOLATION(S) ISSUED,3701405,9 GARAGE CYPRESS COURT,3352755,BROOKLYN,11208
