X1,X2,complaint_num,address,bin,boro,zip
Last Inspection:,04/24/2020 -  - BY BADGE # 3071,3750797,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,04/24/2020 - H7 - ESSENTIAL CONSTRUCTION,3750797,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,ESSENTIAL WORK SITE - NO ACTION NECESARY,3750797,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,08/06/2008 -  - BY BADGE # 0363,3275313,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,08/06/2008 - H1 - PLEASE SEE COMPLAINT NUMBER  3275312,3275313,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,SEE COMPL 3275312,3275313,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,08/06/2008 -  - BY BADGE # 0363,3275312,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,08/06/2008 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3275312,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,SHORING AND BRACING WOOD JOISTS IN CELLAR,3275312,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,05/23/2008 -  - BY BADGE # 0855,3265901,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,05/23/2008 - I1 - COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,3265901,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,FULL STOP WORK RESCIND ON 05/08/2008,3265901,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,05/23/2008 -  - BY BADGE # 0855,3265899,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,05/23/2008 - I1 - COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,3265899,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,FULL STOP WORK RESCIND ON 5/08/2008,3265899,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,05/22/2008 -  - BY BADGE # 1871,3265864,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,05/23/2008 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3265864,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,NO CONSTRUCTION ACTIVITY,3265864,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,04/01/2008 -  - BY BADGE # 2315,3259045,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,04/03/2008 - A9 - ECB & BUILDINGS VIOLATIONS SERVED,3259045,242 HOWARD AVENUE,3041432,BROOKLYN,11233
DOB Violation #:,040108C03AM01,3259045,242 HOWARD AVENUE,3041432,BROOKLYN,11233
ECB Violation #:,34633692L,3259045,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,EXCESSIVE DEBRIS COMBUSTIBLE AT PART 1-R,3259045,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,09/10/2007 -  - BY BADGE # 2201,3238000,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,09/19/2007 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3238000,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,BUILDING IS SECURE WITH WINDOWS AND DOORS. NO ACTION                            NECESSARY,3238000,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,11/04/2005 -  - BY BADGE # 1998,3174715,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,11/04/2005 - A9 - ECB & BUILDINGS VIOLATIONS SERVED,3174715,242 HOWARD AVENUE,3041432,BROOKLYN,11233
DOB Violation #:,110405C03RB01,3174715,242 HOWARD AVENUE,3041432,BROOKLYN,11233
ECB Violation #:,34497311P,3174715,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,LOOSE FLASHING AT CORNICE EXPOSED METAL FRAME IN ENTRANCE                       DOOR,3174715,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,03/28/2005 -  - BY BADGE # 0855,3153130,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,03/28/2005 - A9 - ECB & BUILDINGS VIOLATIONS SERVED,3153130,242 HOWARD AVENUE,3041432,BROOKLYN,11233
DOB Violation #:,032805C16HD05,3153130,242 HOWARD AVENUE,3041432,BROOKLYN,11233
ECB Violation #:,34473544J,3153130,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Comments:,1 ECB FAILURE TO MAINTAIN FLOOR JOISTS SAGGING AND 4 INCHES                     OF WATER IN CELLAR,3153130,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Last Inspection:,07/12/1993 -  - BY BADGE # 0737,3029623,242 HOWARD AVENUE,3041432,BROOKLYN,11233
Disposition:,08/06/1993 - B1 - BUILDINGS VIOLATION(S) PREPARED & ATTEMPT TO SERVE WILL BE MADE,3029623,242 HOWARD AVENUE,3041432,BROOKLYN,11233
DOB Violation #:,"071293C3T9VW,C03T1,T2",3029623,242 HOWARD AVENUE,3041432,BROOKLYN,11233
