X1,X2,complaint_num,address,bin,boro,zip
Last Inspection:,11/22/2021 -  - BY BADGE # 3080,2328076,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,11/22/2021 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2328076,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,NO VIOLATIONS WARRANTED FOR COMPLAINT,2328076,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,05/02/2021 -  - BY BADGE # 2758,2316808,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,05/02/2021 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2316808,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,I-2; SITE SECURE AT THE TIME OF INSPECTION; CONSTRUCTION FENCE AROUND THE       PERIMETER,2316808,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,04/10/2020 -  - BY BADGE # 2881,2299443,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,04/10/2020 - A8 - ECB VIOLATION SERVED,2299443,4683 PARK AVENUE,2011229,BRONX,10458
Job Number:,220674544,2299443,4683 PARK AVENUE,2011229,BRONX,10458
DOB Violation #:,041020CC06AS01/02,2299443,4683 PARK AVENUE,2011229,BRONX,10458
ECB Violation #:,35470944L  35470945N,2299443,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,MAINTAIN FENCE AND HOUSEKEEPING ON SITE AS PER CODE. NO OTHE                     WORK ALLOWED,2299443,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,01/28/2019 -  - BY BADGE # 2885,2275044,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,01/29/2019 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2275044,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,AT TIME OF INSPECTION THE BUILDING IS SEALED. THE SIDEWALK SHED AND CONSTRUCTIONFENCE IS IN PLACE.,2275044,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,10/01/2018 -  - BY BADGE # 2704,2268866,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,10/02/2018 - A8 - ECB VIOLATION SERVED,2268866,4683 PARK AVENUE,2011229,BRONX,10458
DOB Violation #:,100118C06MR01,2268866,4683 PARK AVENUE,2011229,BRONX,10458
ECB Violation #:,35305492K,2268866,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,ECB SUMMONS ISSUED FOR JOB SITE FENCE NOT CONSTRUCTED AND MAINTAINED AS PER     SUBSECTION.,2268866,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,07/18/2018 -  - BY BADGE # 1795,2265282,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,07/18/2018 - XX - ADMINISTRATIVE CLOSURE,2265282,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,ALSO REPORTED UNDER COMPLAINT 2265279,2265282,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,03/07/2018 -  - BY BADGE # 2472,2258471,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,03/07/2018 - I1 - COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,2258471,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,BUILDING IS UNDER FULL VACATE ORDER 20/2018 AS OF 03/02/2018                    PRE EMPTORY ORDER IS CC TO FDNY IN THE REFERRAL,2258471,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,03/03/2018 -  - BY BADGE # 2858,2258239,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,03/05/2018 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2258239,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,POSTING FULL VACATE ORDER # X20/18 AT ENTRANCE DOOR TO THE BUILDING.,2258239,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,10/14/2015 -  - BY BADGE # 0860,2216319,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,10/14/2015 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2216319,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,THE BUILDING IS VACANT AND SEALED CLOSED AT TIME OF INSPECTION.,2216319,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,01/24/2014 -  - BY BADGE # 1871,2190613,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,01/24/2014 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2190613,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,NO CRACKS FOUND AT REAR OF BLDG AT TIME OF INSPECTION,2190613,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,08/10/2007 -  - BY BADGE # 2251,2102861,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,08/13/2007 - A9 - ECB & BUILDINGS VIOLATIONS SERVED,2102861,4683 PARK AVENUE,2011229,BRONX,10458
DOB Violation #:,081007C06SH01,2102861,4683 PARK AVENUE,2011229,BRONX,10458
ECB Violation #:,34589239H,2102861,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,CRACKED WALLS & SAGGING FLOORS ENGINEER'S REPORT REQUESTED,2102861,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,01/10/2007 -  - BY BADGE # 1901,2093584,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,01/11/2007 - A3 - FULL STOP WORK ORDER SERVED,2093584,4683 PARK AVENUE,2011229,BRONX,10458
DOB Violation #:,011007CO65FG/217702,2093584,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,FAIL TO PROVIDE ALL REQ. INFORMATION,2093584,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,11/24/2006 -  - BY BADGE # 2251,2089760,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,11/28/2006 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2089760,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,PERMITS ISSUED 201082354-EW-OT,2089760,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,01/24/2006 -  - BY BADGE # 2235,2079930,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,01/30/2006 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION  2079930,2079930,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,NO FURTHER ACTION NEEDED,2079930,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,09/25/2003 -  - BY BADGE # 1749,2054543,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,09/30/2003 - A1 - BUILDINGS VIOLATION(S) SERVED  2054543,2054543,4683 PARK AVENUE,2011229,BRONX,10458
Electrical Violation #:,Y117408,2054543,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,VIOLATION WRITTEN,2054543,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,11/08/1999 -  - BY BADGE # 0726,2032025,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,11/09/1999 - A9 - ECB & BUILDINGS VIOLATIONS SERVED,2032025,4683 PARK AVENUE,2011229,BRONX,10458
DOB Violation #:,110899C06BL03,2032025,4683 PARK AVENUE,2011229,BRONX,10458
ECB Violation #:,34220284R,2032025,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,FAILURE TO MAINTAIN FRONT FACADE SOUTH SIDE - BRICKS ARE                        SAGGING,2032025,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,03/28/1994 -  - BY BADGE # 0669,2013221,4683 PARK AVENUE,2011229,BRONX,10458
Disposition:,03/28/1994 - B1 - BUILDINGS VIOLATION(S) PREPARED & ATTEMPT TO SERVE WILL BE MADE,2013221,4683 PARK AVENUE,2011229,BRONX,10458
ECB Violation #:,34102890J,2013221,4683 PARK AVENUE,2011229,BRONX,10458
Comments:,VIOLATION FOR BROKEN FRONT EXTERIOR WALL NO EVIDENCE OF BLDG                    SHAKING UNABLE TO GAIN ACCESS LOCKED WITH GATE AND CHAINS,2013221,4683 PARK AVENUE,2011229,BRONX,10458
Last Inspection:,-   -- NONE --,2334326,2740 SEXTON PLACE,2055342,BRONX,10469
Disposition:,-,2334326,2740 SEXTON PLACE,2055342,BRONX,10469
Last Inspection:,11/15/2021 -  - BY BADGE # 2885,2327685,2740 SEXTON PLACE,2055342,BRONX,10469
Disposition:,11/19/2021 - A6 - VACANT/OPEN/UNGUARDED STRUCTURE - VIOLATION(S) ISSUED,2327685,2740 SEXTON PLACE,2055342,BRONX,10469
Comments:,AT TIME OF INSPECTION I OBSERVED THE MISSING WINDOWS AT EXPOSURE #4 AND AN UNSECURED BASEMENT DOOR AND A DEFECTIVE FENCE AT EXPOSURE #3. AN UNSAFE BUILDING VIOLATION ISSUED,2327685,2740 SEXTON PLACE,2055342,BRONX,10469
Last Inspection:,04/14/2021 -  - BY BADGE # 2885,2315042,2740 SEXTON PLACE,2055342,BRONX,10469
Disposition:,04/16/2021 - A8 - ECB VIOLATION SERVED,2315042,2740 SEXTON PLACE,2055342,BRONX,10469
ECB Violation #:,39039378N,2315042,2740 SEXTON PLACE,2055342,BRONX,10469
Comments:,"AT TIME OF INSPECTION THE BUILDING IS SEALED AT ALL REQUIRED OPENINGS EXPOSURES  AND APPEARS TO BE IN COMPLIANCE WITH VACATE #X187/2020. HOWEVER, SUMMONS ISSUED FOR FAILURE TO CERTIFY CORRECTION FOR VIOLATIONS 35507200P",2315042,2740 SEXTON PLACE,2055342,BRONX,10469
Last Inspection:,12/01/2020 -  - BY BADGE # 2885,2310080,2740 SEXTON PLACE,2055342,BRONX,10469
Disposition:,12/02/2020 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2310080,2740 SEXTON PLACE,2055342,BRONX,10469
Comments:,24 HR FOLLOW-UP COMPLIANCE INSPECTION FOR VAC X187/2020. APPEARS TO BE IN       COMPLIANCE.,2310080,2740 SEXTON PLACE,2055342,BRONX,10469
Last Inspection:,11/29/2020 -  - BY BADGE # 2668,2310041,2740 SEXTON PLACE,2055342,BRONX,10469
