X1,X2,X3,X4,X5,X6,complaint_num,address,bin,boro,zip
,,,,,,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
#,Disposition,Disposition,Disposition,Inspection,Date,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
,Date,Code,Disposition,By,Date,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
,,,,,,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
2,04/11/2017,Y2,VACATE ORDER FULLY RESCINDED,0469,04/11/2017,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
,,,BUILDING DEMOLISHED TO GRADE JOB # 520294707 S/O ON 4/10/17,,,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
1,03/06/2017,Y1,FULL VACATE ORDER ISSUED,2610,03/06/2017,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
,,,Y-1  STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE. EXTENSIVE FIRE DAMAGE THROUGHOUT PREMISES WITH CHARRED VERTICAL AND HORIZONTAL FRAMING THROUGHOUT INTERIOR.,,,5126415,68 DRIGGS STREET,5067531,STATEN ISLAND,10308
,,,,,,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
#,Disposition,Disposition,Disposition,Inspection,Date,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,Date,Code,Disposition,By,Date,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
2,05/10/2017,Y2,VACATE ORDER FULLY RESCINDED,2751,05/09/2017,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,"BUILDING DEMOLISHED, WHICH SUPERSEDES VACATE.",,,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
1,02/14/2017,Y1,FULL VACATE ORDER ISSUED,2282,02/14/2017,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,Y1  STRUCTURE RENDERED NOT COMPLIANT DUE TO SEVERE FIRE THROUGHTOUT.  BUILDING  IS STRUCTURALLY COMPROMISED.,,,4681897,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
#,Disposition,Disposition,Disposition,Inspection,Date,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,Date,Code,Disposition,By,Date,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
2,06/07/2010,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,0251,06/03/2010,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO VIOLATIONS FOUND,,,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
1,05/26/2010,D9,COMPLAINT ASSIGNED TO ELECTRICAL UNIT,2418,05/25/2010,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO APPARENT DOB ISSUES-REFER TO ELECTRIC FOR COMPLIANCE,,,4445691,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
#,Disposition,Disposition,Disposition,Inspection,Date,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,Date,Code,Disposition,By,Date,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
2,01/16/2008,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2246,01/09/2008,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO RESPONSE TO KNOCKS. LS4 POSTED,,,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
1,12/31/2007,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2305,12/27/2007,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO ACCESS LS4 POSTED,,,4333181,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
#,Disposition,Disposition,Disposition,Inspection,Date,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,Date,Code,Disposition,By,Date,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
2,11/09/2007,I1,COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,1962,11/09/2007,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,ONE AND TWO FAMILY DOES NOT REQUIRED SECOND  EGRESS,,,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
1,11/09/2007,D1,COMPLAINT ASSIGNED TO CONSTRUCTION ENFORCEMENT,0526,11/08/2007,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,REFER TO BORO,,,4330046,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
#,Disposition,Disposition,Disposition,Inspection,Date,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,Date,Code,Disposition,By,Date,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
2,12/17/2007,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2286,12/08/2007,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO RESPONSE TO DOOR KNOCKS LS4 POSTED,,,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
1,11/30/2007,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2350,11/28/2007,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,"NO RESPONSE TO KNOCKS ON DOOR, LS4 POSTED",,,4328923,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
#,Disposition,Disposition,Disposition,Inspection,Date,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,Date,Code,Disposition,By,Date,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
3,11/16/2004,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,0253,11/16/2004,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO REPLY,,,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
2,03/05/2004,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,1027,02/27/2004,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO REPLY,,,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
1,03/05/2004,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,1027,02/27/2004,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,NO REPLY,,,4185673,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
#,Disposition,Disposition,Disposition,Inspection,Date,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,Date,Code,Disposition,By,Date,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
2,12/17/1998,A9,ECB & BUILDINGS VIOLATIONS SERVED,0730,12/13/1998,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,2 ECB'S SERVED FOR RESIDENCE ALTERED FOR OCCUPANCY AND OCCU-                    PANCY CONTRARY TO DOB RECORDS- ILLEGAL CELLAR CLASS 'A' APT,,,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
1,12/08/1998,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0730,12/06/1998,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,ACCESS DENIED BY OCCUPANT. FIRST LS-4 LEFT WITH OCCUPANT,,,4039706,145-113 GUY R BREWER BOULEVARD,4285796,QUEENS,11434
,,,,,,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
#,Disposition,Disposition,Disposition,Inspection,Date,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,Date,Code,Disposition,By,Date,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,,,,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
2,02/24/2022,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,3409,02/24/2022,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,AT THE TIME OF INSPECTION NO UNPERMITED WORK WAS OBSERVED.,,,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
1,01/26/2022,D8,COMPLAINT ASSIGNED TO EXECUTIVE INSPECTIONS,1795,01/26/2022,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,REASSIGNED,,,3829230,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,,,,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
#,Disposition,Disposition,Disposition,Inspection,Date,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,Date,Code,Disposition,By,Date,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,,,,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
4,01/21/2022,Y2,VACATE ORDER FULLY RESCINDED,2552,01/21/2022,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,OK TO DISMISS VACATE ORDER B242/21,,,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
3,01/13/2022,Y1,FULL VACATE ORDER ISSUED,3200,01/11/2022,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,: NO OBJECT TO DISMISS FULL VACATE # B242/2021,,,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
2,01/11/2022,Y1,FULL VACATE ORDER ISSUED,3200,01/03/2022,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,"AT TIME OF INSPECTION, NO JOB FILING IN BIS/DOB NOW OR ANY ENGINEERING REPORT FOR THE ASSESSMENT OF THE DAMAGES AND FIXES. SUBJECT PREMISE IS BEING RE-OCCUPIED AT 1ST FLOOR   AS A COMMERCIAL RETAIL SPACE AND FAILURE TO COMPLY WITH COMMISSIONER ORDER TO VACATE. FULL VACATE TO REMAIN.",,,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
1,07/26/2021,Y1,FULL VACATE ORDER ISSUED,2387,07/26/2021,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,"Y-1 STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION AT MEZZANINE LEVEL CEILING FINISH HAS BEEN REMOVED, AT 1ST FLOOR DROP CEILING MATERIALS HANG LOOSE AND IN DANGER OF FALLING, THESE ISSUES ARE DUE TO FIRE AT 2811 MERMAID AVE. VACATE BUILDING FORTHWITH",,,3807515,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,,,,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
#,Disposition,Disposition,Disposition,Inspection,Date,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,Date,Code,Disposition,By,Date,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,,,,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
2,10/17/2003,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,0840,10/08/2003,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,NO ACCESS GATE LOCKED LS4 LEFT,,,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
1,10/17/2003,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,0840,09/29/2003,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,PREMISES LOCKED LS4 LEFT,,,3113239,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,,,,,,3113204,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
#,Disposition,Disposition,Disposition,Inspection,Date,3113204,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
,Date,Code,Disposition,By,Date,3113204,2811 MERMAID AVENUE,3412888,BROOKLYN,11224
