X1,X2,X3,X4,X5,X6,complaint_num,address,bin,boro,zip
,,,,,,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
#,Disposition,Disposition,Disposition,Inspection,Date,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
,Date,Code,Disposition,By,Date,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
,,,,,,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
9,05/18/2020,Y1,FULL VACATE ORDER ISSUED,2669,05/18/2020,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
,,,"RESTATEMENT : Y-1 FULL VACATE SERVED FOR ENTIRE BUILDING. AT TIME OF INSPECTION OBSERVED ROOF HAS RETAINED WATER WHICH HAS PENETRATED THROUGH TO 4TH, 3RD, 2ND & 1ST WHERE SECTIONS OF CEILING HAS COLLAPSED AT 2ND, 3RD, 4TH 1ST FLOOR PUBLIC HALLWAY CEILING SHOWS SIGNS OF WATER DAMAGE. 1 APARTMENT STILL BEING OCCUPIED AT 1ST FLOOR",,,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
8,05/18/2020,Y4,VACATE ORDER PARTIALLY RESCINDED,2669,05/18/2020,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
,,,PARTIALLY RESCIND THE FULL VACATE ORDER TO PERMIT THE TENANT SUPERVISED ACCESS TO RETRIEVE THEIR BELONGINGS WITH THE ASSISTANCE OF REPRESENTATIVES/EMPLOYEES FROM THE OWNERSHIP ON MONDAY 5/18/2020 FROM 8AM TO 1PM.,,,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
7,05/15/2020,Y1,FULL VACATE ORDER ISSUED,2669,05/15/2020,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
,,,"REINSTATE/RESTATEMENT : Y-1 FULL VACATE SERVED FOR ENTIRE BUILDING. AT TIME OF INSPECTION OBSERVED ROOF HAS RETAINED WATER WHICH HAS PENETRATED THROUGH TO 4TH, 3RD, 2ND & 1ST WHERE SECTIONS OF CEILING HAS COLLAPSED AT 2ND, 3RD, 4TH 1ST FLOOR PUBLIC HALLWAY CEILING SHOWS SIGNS OF WATER DAMAGE. 1 APARTMENT STILL BEING OCCUPIED AT 1ST FLOOR",,,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
6,05/14/2020,Y4,VACATE ORDER PARTIALLY RESCINDED,2669,05/14/2020,1539819,508 REAR EAST 11 STREET,1083148,MANHATTAN,10009
