X1,X2,X3,X4,X5,X6,complaint_num,address,bin,boro,zip
,,,,,,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
#,Disposition,Disposition,Disposition,Inspection,Date,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
,Date,Code,Disposition,By,Date,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,,,,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
2,01/25/2022,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2988,01/25/2022,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,5 story demolition site job site is close on a Full stop work order no access to verify type back work on a adjacent building 1592 second Avenue  And to check access agreement No access to site,,,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
1,01/24/2022,EJ,COMPLAINT ASSIGNED TO CONSTRUCTION SAFETY ENFORCEMENT,2608,01/24/2022,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,EJ-COMPLAINT REFERRED TO CSE.,,,1591501,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,,,,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
#,Disposition,Disposition,Disposition,Inspection,Date,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
,Date,Code,Disposition,By,Date,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
,,,,,,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
4,01/20/2022,L2,STOP WORK ORDER FULLY RESCINDED,3268,01/20/2022,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
,,,SUPPORTED SCAFFOLD MAINTAINED. NEW EOR REPORT PROVIDED SHORI                    NG CONFORMS TO DD,,,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
3,01/12/2022,L3,STOP WORK ORDER PARTIALLY RESCINDED,3291,01/12/2022,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
,,,NO NEW DEMO.MNTN SUP SCFLD/PRVDE UPDATED EOR REPRTS INCLDNG                     CORRECTED CONDITIONS/REMOVE DEBRIS/CONFORM SHORING TO DD,,,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
2,01/07/2022,A3,FULL STOP WORK ORDER SERVED,3250,01/07/2022,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
,,,STOP WORK ON ENTIRE SITE. COMPLY INSTALLED SHORING WITH DD OR AMEND IT. STOP USE SUPPORTED SCAFFOLD. COMPLY SUPPORTED SCAFFOLD WITH CODE. INSTITUTE SAFETY MEASURES.,,,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
1,01/06/2022,EJ,COMPLAINT ASSIGNED TO CONSTRUCTION SAFETY ENFORCEMENT,2514,01/06/2022,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
,,,EJ - REFER TO CSE,,,1590396,1594 SECOND AVENUE,1049909,MANHATTAN,10028
,,,,,,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
#,Disposition,Disposition,Disposition,Inspection,Date,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
,Date,Code,Disposition,By,Date,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,,,,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
3,04/06/2022,Y2,VACATE ORDER FULLY RESCINDED,2665,04/06/2022,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,THE BUILDING HAS BEEN DEMOLISHED UNDER PERMIT # 123686555 AND S/O.,,,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
2,10/13/2017,Y4,VACATE ORDER PARTIALLY RESCINDED,1734,10/13/2017,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,PARTIAL AMENDMENT OF VACATE ORDER TO INSTALL SHORING AT INTERIOR OF BUILDING CEL--5TH FFS UNDER PE AUSPICE; WITHIN THE SCOPE OF APPLICATION # 123096719. P.E. REPORTS ON FILE.,,,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
1,02/09/2017,Y1,FULL VACATE ORDER ISSUED,2282,02/08/2017,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,Y1 STRUCTURE RENDERED NOT COMPLIANT DUE TO FIRE CAUSING SOME WOOD FRAMING DAMAGEFROM CELLAR TO ROOF,,,1443030,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,,,,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
#,Disposition,Disposition,Disposition,Inspection,Date,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
,Date,Code,Disposition,By,Date,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,,,,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
2,03/26/2016,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,2669,03/25/2016,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,NO ANSWER TO INTERCOM LS4 POSTED,,,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
1,03/17/2016,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2669,03/16/2016,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,"NO ANSWER TO INTERCOM , NO ACCESS TO APT#3S LS4 POSTED",,,1403537,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,,,,1087692,1594 2 AVENUE,1049909,MANHATTAN,10028
#,Disposition,Disposition,Disposition,Inspection,Date,1087692,1594 2 AVENUE,1049909,MANHATTAN,10028
,Date,Code,Disposition,By,Date,1087692,1594 2 AVENUE,1049909,MANHATTAN,10028
,,,,,,1087692,1594 2 AVENUE,1049909,MANHATTAN,10028
