X1,X2,X3,X4,X5,X6,complaint_num,address,bin,boro,zip
,,,,,,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
#,Disposition,Disposition,Disposition,Inspection,Date,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,Date,Code,Disposition,By,Date,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,,,,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
2,07/23/2019,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2724,07/23/2019,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,"BUILDING WAS REPAIRED AND APPEARS STABLE AND INTACT, AND SIGNED OFF BY ARCHITECT KENNY LEE LIC# 024793. OK FULLY RESCIND VACATE ORDER.",,,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
1,05/09/2019,A6,VACANT/OPEN/UNGUARDED STRUCTURE - VIOLATION(S) ISSUED,2918,05/09/2019,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,A-6 UB SUBMITTED FOR GARAGE,,,4774242,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,,,,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
#,Disposition,Disposition,Disposition,Inspection,Date,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,Date,Code,Disposition,By,Date,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,,,,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
2,07/29/2019,Y2,VACATE ORDER FULLY RESCINDED,2724,07/23/2019,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,"OKAY TO RESCIND VACATE, UB CONDITION(S) CORRECTED.",,,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
1,05/09/2019,Y1,FULL VACATE ORDER ISSUED,2918,05/09/2019,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,"Y-1 FULL VACATE, GARAGE AT REAR OF PROPERTY IS LEANING AND IS IN DANGER OF      COLLAPSE",,,4774194,110-11 GAR INWOOD STREET,4614872,QUEENS,11435
,,,,,,5140258,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
#,Disposition,Disposition,Disposition,Inspection,Date,5140258,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
,Date,Code,Disposition,By,Date,5140258,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
,,,,,,5140258,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
2,03/19/2019,A6,VACANT/OPEN/UNGUARDED STRUCTURE - VIOLATION(S) ISSUED,2746,03/18/2019,5140258,35 GARAGE SIDEVIEW AVENUE,5139284,STATEN ISLAND,10314
