X1,X2,X3,X4,X5,X6,complaint_num,address,bin,boro,zip
,,,,,,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
#,Disposition,Disposition,Disposition,Inspection,Date,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,Date,Code,Disposition,By,Date,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,,,,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
2,01/10/2019,Y2,VACATE ORDER FULLY RESCINDED,2651,01/10/2019,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,EGRESS RESTORED. FULL LIFT OF VACATE ISSUED,,,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
1,01/09/2019,Y1,FULL VACATE ORDER ISSUED,2555,01/09/2019,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,Y1-FULL VACATE ISSUED DUE TO PROPERTY BEING LOCATED WITHIN T                    HE COLLAPSE ZONE OF PARTIALLY COLLAPSED 244 HOWARD AVENUE,,,3682196,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,,,,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
#,Disposition,Disposition,Disposition,Inspection,Date,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,Date,Code,Disposition,By,Date,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,,,,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
2,09/10/2008,L2,STOP WORK ORDER FULLY RESCINDED,2237,09/10/2008,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,CONTRACTOR HAS COMPLIED W/REMEDY IN VIOL#061008C0301GH BY PR                    OVIDING TENANT PROTECTION PLAN & SHORING UP UNSUPPORTED JIOS,,,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
1,06/10/2008,A3,FULL STOP WORK ORDER SERVED,1961,06/10/2008,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,"ONGOING CONST. APPL.302007110 DEMO OF ENTIRE APTS                               UNSUPPORTED WOOD JOISTS, INADEQUATE TENANTS PROTECTION",,,3268012,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,,,,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
#,Disposition,Disposition,Disposition,Inspection,Date,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,Date,Code,Disposition,By,Date,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,,,,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
2,06/03/2008,A9,ECB & BUILDINGS VIOLATIONS SERVED,0363,06/03/2008,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,"FLOORS ARE SAGGING CHIMNEY IS PULLING FROM INTERIOR WALL                        NO VACATE REQUIRED                                                              FLOORS ARE SAGGING CHIMNEY IS PULLING FROM INTERIOR WALL VAC                    ATE ORDER, ISSUED",,,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
1,06/02/2008,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,2237,06/02/2008,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,UNABLE TO VIEW CONDITION OF CHIMNEY FROM STREET LEVEL,,,3267008,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,,,,3266792,242 HOWARD AVENUE,3041432,BROOKLYN,11233
#,Disposition,Disposition,Disposition,Inspection,Date,3266792,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,Date,Code,Disposition,By,Date,3266792,242 HOWARD AVENUE,3041432,BROOKLYN,11233
,,,,,,3266792,242 HOWARD AVENUE,3041432,BROOKLYN,11233
3,06/02/2008,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,2237,05/31/2008,3266792,242 HOWARD AVENUE,3041432,BROOKLYN,11233
