X1,X2,X3,X4,X5,X6,complaint_num,address,bin,boro,zip
,,,,,,2327065,4683 PARK AVENUE,2011229,BRONX,10458
#,Disposition,Disposition,Disposition,Inspection,Date,2327065,4683 PARK AVENUE,2011229,BRONX,10458
,Date,Code,Disposition,By,Date,2327065,4683 PARK AVENUE,2011229,BRONX,10458
,,,,,,2327065,4683 PARK AVENUE,2011229,BRONX,10458
3,03/19/2022,L3,STOP WORK ORDER PARTIALLY RESCINDED,3080,03/16/2022,2327065,4683 PARK AVENUE,2011229,BRONX,10458
,,,"ALLOWED TO WORK EXCEPT NO USE PIPE SF NO EXTERIOR WORK...AMENDCONFORM SWS...PROVIDE 6 MONTH INSPECTION REPORT...LOADS IMPOSE FROM PE FOR PIPE SF...MAINTAIN PIPE SF GUARDRAILS SYSTEM, AMEND NEEDLE BEAM DRAWINGS AND CORRECT NEEDLE BEAMS EXP 3 COMPLY WITH CODES, PROVIDE CAZ AGREEMENT WITH ADJ PROPERTY EXP 2 AND 4",,,2327065,4683 PARK AVENUE,2011229,BRONX,10458
2,11/22/2021,Y5,STOP WORK REINSPECTION FAILURE,3080,11/22/2021,2327065,4683 PARK AVENUE,2011229,BRONX,10458
,,,RESCIND DENIED. NO ACTIVE PERMIT.  ALT PERMIT  220669774 IN PROCESS.,,,2327065,4683 PARK AVENUE,2011229,BRONX,10458
1,11/02/2021,A3,FULL STOP WORK ORDER SERVED,2646,11/01/2021,2327065,4683 PARK AVENUE,2011229,BRONX,10458
,,,"FSWO issued for work without permit DOB#110121CE06RV01-stop all work at entire site-VIO# 35575674L.VIO#35504825L DOB#06RV02 failure to designate CS-provide CS. VIO #-26N DOB#06RV03 for no hand rail-provide hand rails. VIO#-27P DOB#CE06RV04 inadequate guardrail system-provide handrails. VIO#-28R DOB#06RV05 inadequate housekeeping-maintain housekeeping.VIO#-29Z DOB#06RV06 supported scaffold-maintenance. DOB#06RV07, 30X-No plan on site .VIO#31HDOB#06RV08 no over head protection. comply with code.",,,2327065,4683 PARK AVENUE,2011229,BRONX,10458
,,,,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
#,Disposition,Disposition,Disposition,Inspection,Date,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,Date,Code,Disposition,By,Date,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,,,,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
7,07/14/2020,L2,STOP WORK ORDER FULLY RESCINDED,2839,07/13/2020,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,,,VIOLATING CONDITION HAS BEEN CORRECTED.  OK TO RESCIND,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
6,06/18/2020,L3,STOP WORK ORDER PARTIALLY RESCINDED,2651,06/18/2020,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,,,PARTIAL LIFT ISSUED TO PERFORM INTERIOR NOT STRUCTURAL DEM                    O WORK ON FLOORS 1-4   AUIDT*********2619,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
5,04/28/2020,Y5,STOP WORK REINSPECTION FAILURE,2619,04/28/2000,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,,,DENIED MISSING DRAWINGS INFORMATION AND NO TR1                                .UNDER REVIEW *****CSE AUIDT*********2619,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
4,04/28/2020,Y5,STOP WORK REINSPECTION FAILURE,2839,04/28/2000,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,,,DENIED MISSING DRAWINGS INFORMATION AND NO TR1,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
3,04/28/2020,A3,FULL STOP WORK ORDER SERVED,2619,04/28/2000,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,,,MAINTAIN APPROVED CONST DOCS ON SITE / ONLY SAFETY WORK ALLO                    WED.UNDER REVIEW BY DOB **CSE*AUDIT*********,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
2,04/28/2020,A3,FULL STOP WORK ORDER SERVED,2619,04/28/2000,2299441,4683 PARK AVENUE,2011229,BRONX,10458
,,,MAINTAIN APPROVED CONST DOCS ON SITE / ONLY SAFETY WORK ALLO                    WED.UNDER REVIEW BY SOB ******AUDIT*********,,,2299441,4683 PARK AVENUE,2011229,BRONX,10458
1,04/10/2020,L1,PARTIAL STOP WORK ORDER,2881,04/10/2000,2299441,4683 PARK AVENUE,2011229,BRONX,10458
