X1,X2,complaint_num,address,bin,boro,zip
Last Inspection:,03/18/2022 -  - BY BADGE # 2646,1595391,1594 2 AVENUE,1049909,MANHATTAN,10028
Disposition:,03/18/2022 - A8 - ECB VIOLATION SERVED,1595391,1594 2 AVENUE,1049909,MANHATTAN,10028
ECB Violation #:,35641055P,1595391,1594 2 AVENUE,1049909,MANHATTAN,10028
Comments:,Active job site. ECB violation issued for missing construction fence at exposure# 4.,1595391,1594 2 AVENUE,1049909,MANHATTAN,10028
Last Inspection:,02/04/2022 -  - BY BADGE # 9TLX,1592570,1594 2 AVENUE,1049909,MANHATTAN,10028
Disposition:,02/09/2022 - A1 - BUILDINGS VIOLATION(S) SERVED,1592570,1594 2 AVENUE,1049909,MANHATTAN,10028
DOB Violation #:,020422FEU10801TDL,1592570,1594 2 AVENUE,1049909,MANHATTAN,10028
Comments:,IMMED PROVID LOT LINE WNDW PROTECTN PER APPROVD DWGS.PERFORM                    PULL TEST ON WALL TIES TO JOISTS.PROVID VIBRTN MONITORNG,1592570,1594 2 AVENUE,1049909,MANHATTAN,10028
Last Inspection:,01/12/2022 -  - BY BADGE # 1795,1590616,1594 2 AVENUE,1049909,MANHATTAN,10028
Disposition:,01/12/2022 - H1 - PLEASE SEE COMPLAINT NUMBER  1590396,1590616,1594 2 AVENUE,1049909,MANHATTAN,10028
Comments:,SEE REFERENCED COMPLAINT FOR INSPECTION RESULTS,1590616,1594 2 AVENUE,1049909,MANHATTAN,10028
Last Inspection:,12/10/2021 -  - BY BADGE # 0723,1588797,1594 2 AVENUE,1049909,MANHATTAN,10028
Disposition:,12/10/2021 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,1588797,1594 2 AVENUE,1049909,MANHATTAN,10028
Comments:,"I2. THE JOBSITE IS LOCKED AND SECURED AT THIS TIME, NO CONSTRUCTION ACTIVITY.",1588797,1594 2 AVENUE,1049909,MANHATTAN,10028
Last Inspection:,10/18/2021 -  - BY BADGE # ADMN,1584550,1594 2 AVENUE,1049909,MANHATTAN,10028
Disposition:,10/18/2021 - P6 - INITIAL NOTIFICATION ACCEPTED,1584550,1594 2 AVENUE,1049909,MANHATTAN,10028
Job Number:,123921649,1584550,1594 2 AVENUE,1049909,MANHATTAN,10028
Comments:,NOTIFICATION ACCEPTED,1584550,1594 2 AVENUE,1049909,MANHATTAN,10028
Last Inspection:,03/17/2017 -  - BY BADGE # 2858,1445491,1594 2 AVENUE,1049909,MANHATTAN,10028
Disposition:,03/20/2017 - I2 - NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,1445491,1594 2 AVENUE,1049909,MANHATTAN,10028
Comments:,VACATE ORDER #17/2017 IN COMPLIANCE AT TIME OF INSPECTION,1445491,1594 2 AVENUE,1049909,MANHATTAN,10028
