complaint_num,address,bin,boro,zip,inspection_date,disposition_date,disposition_code,comments,details,disp_num
1000734,266 WATER STREET,1001362,MANHATTAN,10038,1990-02-28,1990-03-07,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,NO WORK IN PROGESS AT TIME OF INSPECTION.  BUILDING LOCKED                      WITH CHAIN AND PADLOCK .  BUILDING OBSERVED TO BE VACANT,1
1000735,266 WATER STREET,1001362,MANHATTAN,10038,1989-02-22,1989-03-03,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,"CONST. IN PROGRESS UNDER ALT. 1425/87 , PERMIT 556 EXPIRES                      12/31/89. NO EVIDENCE OF THROWING DEBRIS ONTO ADJACENT BLDG",1
1033908,264 WATER STREET,1001362,MANHATTAN,10038,1995-03-24,1995-03-29,I1, COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,APPROVED PLAN ON SITE,1
1198794,264 WATER STREET,1001362,MANHATTAN,10038,2007-07-20,2007-07-23,C2,INSPECTOR UNABLE TO GAIN ACCESS - 2ND ATTEMPT,FULL SWO NO GUARD RAILS OPENINGS OBSERVED IN FLOORS NO DAILY                     CONSTRUCTION SUPER LOGS CS********,2
1198794,264 WATER STREET,1001362,MANHATTAN,10038,2007-07-16,2007-07-18,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,AS PER DOB FEU: FULL VACATE REINSTANTED. TENANTS HAVE BEEN ACCOMODATED. NO OCCUPANCY OTHER THAN BUILDING STABILIZATION AND REPAIR EFFORTS,1
1219134,264 WATER STREET,1001362,MANHATTAN,10038,2008-03-20,2008-03-20,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,Y1 - STRUCTURE RENDERED NON COMPLIANT DUE ADJACENT EXCAVATION SITE AT 1802 2ND AVENUE CAUSING NEW AND RE-APPEARANCE  OF OLD  CRACKS IN THE CEILING AND WALLS THROUGHOUT ALL APTS IN THE ENTIRE BUILDING.,2
1219134,264 WATER STREET,1001362,MANHATTAN,10038,2008-03-19,2008-03-20,D1,COMPLAINT ASSIGNED TO CONSTRUCTION ENFORCEMENT,SWO FULLY RESCINDED PLANS ON SITE NO UNSAFE CONDITIONS NOTE                     D B#2799 EX/ID#2619,1
1219135,264 WATER STREET,1001362,MANHATTAN,10038,2008-03-20,2008-03-20,I2, NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,AT TIME OF INSPECTION NO CONSTRUCTION WORK OBSERVED,1
1223865,264 WATER STREET,1001362,MANHATTAN,10038,2008-05-13,2008-05-13,I2,NO VIOLATION WARRANTED FOR COMPLAINT AT TIME OF INSPECTION,PARTIAL RESCISSION OF VACATE TO ALLOW OCCUPANCY AT UNITS A&D FROM CELLAR TO 4TH FLOOR BASED ON FEU CORRESPONDENCE  DATED 11/08/17,2
1223865,264 WATER STREET,1001362,MANHATTAN,10038,2008-05-07,2008-05-09,C1,INSPECTOR UNABLE TO GAIN ACCESS - 1ST ATTEMPT,PARTIAL TO ALLOW APTS A & D FROM CELLAR TO 4TH FLOOR RE ENTERY & TO ALLOW ENGINEERING TO PERFORM EVALUATION AS PROPOSED.,1
